LAST SEEN   TYPE      REASON                            OBJECT                                        MESSAGE
23m         Warning   Unhealthy                         pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5          Liveness probe failed: Get "http://10.233.102.150:8083/health": dial tcp 10.233.102.150:8083: connect: connection refused
8m52s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5          Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
4m45s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-7c8ff9c4fc-kwmqd          Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m53s       Warning   Unhealthy                         pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5          Readiness probe failed: Get "http://10.233.102.150:8083/health": dial tcp 10.233.102.150:8083: connect: connection refused
3m50s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-7c8bb45994-hfc76      Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m49s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-5688bf5f8f-x4fm2      Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m4s        Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-77f5cf8477-pkkdh   Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m2s        Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-b8c7b6fdc-x6fbb    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m1s        Warning   FailedToRetrieveImagePullSecret   pod/trisla-sem-csmf-95dfc79f4-zpscg           Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
2m37s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-85755bf748-t9zfs      Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
106s        Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-77b664ff-sl52j             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
