NAME                                      READY   STATUS             RESTARTS         AGE     IP               NODE    NOMINATED NODE   READINESS GATES
kafka-c948b8d64-jgmz5                     1/1     Running            0                6d16h   10.233.75.59     node2   <none>           <none>
trisla-bc-nssmf-68bbbd4cb8-jg4j5          0/1     CrashLoopBackOff   79 (2m33s ago)   4h28m   10.233.102.150   node1   <none>           <none>
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0                14h     10.233.102.178   node1   <none>           <none>
trisla-besu-5d9454c8f8-gf8c7              1/1     Running            0                4h41m   10.233.75.24     node2   <none>           <none>
trisla-decision-engine-77f5cf8477-pkkdh   1/1     Running            0                73m     10.233.102.158   node1   <none>           <none>
trisla-ml-nsmf-77b664ff-sl52j             1/1     Running            0                82m     10.233.102.145   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-7c8bb45994-hfc76      0/1     CrashLoopBackOff   57 (48s ago)     4h28m   10.233.102.155   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0                16h     10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                19h     10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-95dfc79f4-zpscg           1/1     Running            0                4h28m   10.233.102.164   node1   <none>           <none>
trisla-sla-agent-layer-b8c7b6fdc-x6fbb    1/1     Running            0                4h28m   10.233.102.141   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                28h     10.233.102.149   node1   <none>           <none>
